learning_objective_code	prerequisite_lo_code	rationale	source_layer
CIO-WHILE_LOOP-LOOP_TERMINATION_CONDITION	CIO-WHILE_LOOP-CONDITION_FIRST_REPETITION	CIO Understand → Analyze trong cùng ULO ULO-WHILE_LOOP-02	L1-BLOOM-CIO
CIO-CONTROL_FLOW-TRACE_EXECUTION_PATH_OF	CIO-CONTROL_FLOW-TRACE_VARIABLE_VALUES_THROUGH	CIO Understand → Apply trong cùng ULO ULO-CONTROL_FLOW-02	L1-BLOOM-CIO
CIO-DEBUGGING-SET_CONDITIONAL_BREAKPOINT_IN	CIO-DEBUGGING-USE_STEP_INTO_AND	CIO Understand → Apply trong cùng ULO ULO-DEBUGGING-02	L1-BLOOM-CIO
CIO-EVENT_HANDLERS_CONCEPT-ANALYZE_EVENT_PROPAGATION_IN	CIO-EVENT_HANDLERS_CONCEPT-HANDLE_MULTIPLE_EVENTS_TOUCHDOWN	CIO Apply → Analyze trong cùng ULO ULO-EVENT_HANDLERS_CONCEPT-03	L1-BLOOM-CIO
CIO-OBJECT_INSTANTIATION-ANALYZE_HOW_INITIALIZER_PARAMETERS	CIO-OBJECT_INSTANTIATION-DESCRIBE_STRUCT_MEMBERWISE_INITIALIZATION	CIO Understand → Apply trong cùng ULO ULO-OBJECT_INSTANTIATION-01	L1-BLOOM-CIO
CIO-RETURN_VALUES_AND_SCOPE-IDENTIFY_RETURN_STATEMENT_SYNTAX	CIO-RETURN_VALUES_AND_SCOPE-DISTINGUISH_LOCAL_AND_GLOBAL	CIO Understand → Apply trong cùng ULO ULO-RETURN_VALUES_AND_SCOPE-01	L1-BLOOM-CIO
CIO-RETURN_VALUES_AND_SCOPE-USE_RETURN_VALUE_AS	CIO-RETURN_VALUES_AND_SCOPE-DESIGN_A_SWIFT_FUNCTION	CIO Understand → Apply trong cùng ULO ULO-RETURN_VALUES_AND_SCOPE-03	L1-BLOOM-CIO
CIO-VISUAL_DESIGN-EVALUATE_WHITESPACE_IMPACT_ON	CIO-VISUAL_DESIGN-ANALYZE_COLOR_PALETTE_PSYCHOLOGY	CIO Analyze → Evaluate trong cùng ULO ULO-VISUAL_DESIGN-03	L1-BLOOM-CIO
SIO-SWIFT-WRITE_WHILE_LOOP_BASIC	SIO-SWIFT-IDENTIFY_WHILE_LOOP_STRUCTURE	SIO Remember → Apply trong cùng CIO CIO-WHILE_LOOP-CONDITION_CONTROLLED_LOOP	L1-BLOOM-SIO
SIO-SWIFT-IMPLEMENT_CONDITION_FIRST_WHILE	SIO-SWIFT-COMPARE_WHILE_AND_REPEAT_WHILE	SIO Understand → Apply trong cùng CIO CIO-WHILE_LOOP-CONDITION_FIRST_REPETITION	L1-BLOOM-SIO
